year,Series Name,gdp_real,gdp_growth,inflation,unemployment,imports_real,govexp,income_tax,gst,fed,dummy_2014
1992,1992 [YR1992],30.18001139897863,7.705897817160292,9.509041461901504,5.18,28.665268348199874,25.77034234393587,10.236847809109337,9.9426601876106,10.25079374647076,0
1993,1993 [YR1993],30.197436178864983,1.7577476978467956,9.973664760292092,4.28,28.803675964965837,25.886221565563773,10.463617493986263,10.065648918115544,10.359202077047419,0
1994,1994 [YR1994],30.23412884880115,3.7374155576774655,12.3681943936948,4.26,28.689506318814445,25.96555238896949,10.632653209172005,10.321506859215644,10.449294145197364,0
1995,1995 [YR1995],30.28256284618151,4.962609146232808,12.34357851705133,5.03,28.728436383185638,26.11290818018781,10.986376880739002,10.682215921186279,10.684897410216388,0
1996,1996 [YR1996],30.329890811256945,4.846581286816544,10.37380858850018,4.79,28.855892092868743,26.314618422257478,11.225723277355298,10.816593217465508,10.841833275191114,0
1997,1997 [YR1997],30.339983666713188,1.014396010778924,11.3754928865122,5.81,28.817304509459657,26.389045256802405,11.294769455167058,10.927160754539743,10.919895075745055,0
1998,1998 [YR1998],30.365166249962222,2.550234298173933,6.228004154245431,5.7,28.759451536413266,26.43241389110102,11.48385704247288,10.895664674241416,11.035067067645114,0
1999,1999 [YR1999],30.401113657261902,3.660132739432356,4.142637180821711,5.35,28.703923754074328,26.44167087885725,11.544317537201286,11.185878668996171,11.01707055213406,0
2000,2000 [YR2000],30.44283209476393,4.2600880111324955,4.366664512916805,7.16,28.6811664103522,26.95843580123297,11.564920013421663,11.667456072615773,10.929242368900846,0
2001,2001 [YR2001],30.47869477382303,3.6513501708376452,3.148261445906179,6.88,28.724302099611727,26.916753778547452,11.673870156004599,11.941879209147297,10.801206898824848,0
2002,2002 [YR2002],30.504311999650785,2.5948166844578395,3.290344726131526,7.83,28.700487357494655,27.08735239323153,11.824387538587274,12.023116887673233,10.761852517406659,0
2003,2003 [YR2003],30.556916886819213,5.401310873143416,2.914134700594792,7.49,28.802838362203058,27.18547130690114,11.887009979048127,12.181467404122829,10.708936105183218,0
2004,2004 [YR2004],30.632314257630348,7.831255569612509,7.444624693427395,7.4,28.879527780284796,27.326297173811835,11.966850524003274,12.297589275277337,10.726609809517818,0
2005,2005 [YR2005],30.702554379051364,7.2765744364722025,9.06332737030417,7.05,29.1800094749346,27.394797615831827,12.06547635518353,12.38227971354649,10.880007533959756,0
2006,2006 [YR2006],30.761310316441293,6.051637675699965,7.921084400587886,5.82,29.28841943210943,27.745143223357243,12.25360010806543,12.59404565501379,10.920021730168632,0
2007,2007 [YR2007],30.804798969926846,4.444814339884402,7.598684410507745,3.98,29.28956238213072,27.780701280074876,12.660810341105476,12.64237728878931,11.18169546379096,0
2008,2008 [YR2008],30.825781695175685,2.120441043308304,20.28612109295543,4.23,29.329398507496453,27.922445226215377,12.815726797900696,12.841140400013286,11.431031878810726,0
2009,2009 [YR2009],30.85991787508219,3.472550595673482,13.64776506397613,5.35,29.185640532251643,28.158936013055442,12.953805071057685,13.020870926683926,11.673810560487865,0
2010,2010 [YR2010],30.874823408827147,1.5017175215288319,12.93887056348892,6.53,29.162657013951602,28.22012063810074,13.115604588159774,13.154536235750323,11.73434032295475,0
2011,2011 [YR2011],30.901271716883976,2.6801168542170473,11.9160927116277,7.96,29.128540468530826,28.33303443387568,13.256869794537929,13.35878952319143,11.830309533294352,0
2012,2012 [YR2012],30.931098288232235,3.0275839108862925,9.682351860556839,3.667,29.08558460232094,28.444902795754558,13.48746749582429,13.598472082690694,11.715572388225429,0
2013,2013 [YR2013],30.97384034273492,4.366865049783868,7.692156118995647,2.954,29.086176735461436,28.57464587967887,13.490627704255822,13.644162175077767,11.70324825964967,0
2014,2014 [YR2014],31.01417993136366,4.116428171614217,7.189384028470276,1.827,29.13004973862244,28.661687904460504,13.659171318319482,13.811885997172865,11.835617474611459,1
2015,2015 [YR2015],31.05549404889048,4.217942095725064,2.529328172542286,3.566,29.120051937530402,28.722399931965917,13.822322305246526,13.899658673062406,11.996881307833968,1
2016,2016 [YR2016],31.119161925049593,6.573838285110426,3.765119163565805,2.285,29.28438189979087,28.87569020177879,13.991350319906518,14.079697007397742,12.144489752218234,1
2017,2017 [YR2017],31.162533874375576,4.432625906839746,4.08537368032608,3.5,29.458197673081287,28.97212394514528,14.09595802364383,14.099911001757924,12.19557271367404,1
2018,2018 [YR2018],31.222232916078347,6.151702610995187,5.078057258689168,4.083,29.604315722234173,29.091583412482354,14.230982760991065,14.211131369597426,12.271359324228069,1
2019,2019 [YR2019],31.246902474055975,2.4976369294336536,10.57836180045548,4.83,29.677677008801265,29.180330974564654,14.17030743944722,14.193407807253747,12.38080716003669,1
2020,2020 [YR2020],31.23407973861761,-1.2740874433870886,9.739993138981546,6.74,29.62571490054695,29.354580970386902,14.22245190922246,14.283560404819607,12.431106409266759,1
2021,2021 [YR2021],31.297184911989085,6.5138857585270244,9.49621056124947,6.9,29.754910743084206,29.439745529906627,14.352670016534452,14.502794583775774,12.531938836364162,1
2022,2022 [YR2022],31.343859572143057,4.7781068690357955,19.87385996466555,6.3,29.87157564674195,29.576026141197172,14.635226951322082,14.744610105585545,12.67813041358747,1
2023,2023 [YR2023],31.339701579690296,-0.41493599708840634,30.76812806570052,6.3,29.871663067813266,29.788935705167486,14.9817814951062,14.767940336454302,12.821258284620408,1
2024,2024 [YR2024],31.36973583076536,3.048982873354646,26.0,6.3,29.92807899123179,29.863829351627636,15.310883514110401,14.942710303484297,13.265597545490236,1
